"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
48,52,0.938225004655017,0.0220091626802546,0.892468630823948,0.896385438190484,0.921522675261403,0.943659876067479,0.956002440913697,0.966387030707664,0.96811749983913
49,53,0.927694403148561,0.0221029334180122,0.882575134390722,0.886157341846841,0.909816992289533,0.933063352137105,0.945542350934776,0.956845310816279,0.958492920793588
50,54,0.899939429349548,0.0235986986673566,0.855870442777081,0.858075895158004,0.878996408773196,0.904458094672278,0.918566561047636,0.932992387772949,0.935171539008154
51,55,0.968794850742741,0.0328902616977058,0.910357367812311,0.913641912937647,0.938264196189078,0.973254271199087,0.995797652542253,1.01704411089933,1.01914628463719
52,56,0.986075798135667,0.0157955280550945,0.956754055190315,0.95901683041485,0.974422658775868,0.98821730377763,0.998524310357763,1.00875883034636,1.01041618082996
53,57,0.995507229653979,0.00867435324866696,0.976729319982836,0.978703276905577,0.990347743275077,0.996152421004292,1.00223382026803,1.00816842992935,1.00954293292423
54,58,0.980649314505998,0.00583582008640369,0.968158604944328,0.970510815140403,0.976820685864429,0.980886983096648,0.98483926659933,0.989619988519099,0.990780540675033
55,59,0.949914041224641,0.00670197147247205,0.936059734683377,0.93866501151606,0.945618463419761,0.949654943111635,0.954629676987254,0.961198685927087,0.962575816949587
56,60,0.845539259411416,0.0127162266798148,0.824317985507674,0.826001903442152,0.834529985394371,0.845584814212813,0.855739079018529,0.865921093339612,0.86766947337914
57,61,0.86138206143528,0.0409636419676724,0.790217734688444,0.795049345648313,0.823952025182609,0.862616824550497,0.896397358584552,0.925106478647569,0.92791025753462
58,62,0.814688368470119,0.0395262878629772,0.743525441145389,0.747871930381354,0.780767168862311,0.816425601145463,0.84825173876873,0.874598590914877,0.877683965534954
59,63,0.78206240709874,0.0494859717044755,0.698788923698251,0.702186621295506,0.737727691077699,0.782771314545149,0.823861789233614,0.860846323014419,0.863515045466741
60,64,0.789792192019776,0.0604661193337615,0.690335077125466,0.695431836489004,0.733688608250761,0.788913867925197,0.840986754561227,0.88707892635556,0.890479395136858
61,65,0.7992505263448,0.0610188803731154,0.701399286534994,0.705945770657309,0.742840148688334,0.798805636270898,0.850453867577184,0.899368380131838,0.903131542670644
62,66,0.694057964603034,0.0504048093083995,0.612916466445428,0.616568168616686,0.651809222222281,0.690965618980793,0.736982294082,0.777861992469565,0.780916773360545
63,67,0.708166087242366,0.0772428462080118,0.593055826078976,0.59691389851055,0.635504326435564,0.703071493334313,0.772580529491977,0.842691210216246,0.846702390001148
64,68,0.733125322253394,0.0812132443734787,0.609249146049626,0.613012429767124,0.659565733403025,0.725970335509345,0.802227643288592,0.875147884215797,0.879885390004771
65,69,0.743612239999703,0.0756964335412629,0.62245821694828,0.628941738996704,0.689145289098084,0.732304499498519,0.80947709203366,0.875665184400706,0.881358847549392
66,70,0.78664427172948,0.0749796498033982,0.661004301420271,0.673941575739129,0.732978858958591,0.772176349747292,0.853346704061581,0.919313739366113,0.924218072432387
67,71,0.828227675800711,0.066149845245694,0.708634516425442,0.723484199265298,0.776838436948207,0.811177438688495,0.887586029974011,0.944812934518312,0.949935467051578
68,72,0.823186580590744,0.0526837747197669,0.723621287452012,0.732567059492292,0.787549811222012,0.811925748566545,0.869987847690143,0.912714534942989,0.919744153668736
69,73,0.766497584819636,0.0467585529945149,0.679776826134566,0.688521785384577,0.734151295543978,0.755427629086617,0.807725561988773,0.849616807454323,0.85439095238804
70,74,0.723737115968079,0.0549409220944251,0.631662863777368,0.641261730846341,0.68043480910924,0.71008526134184,0.772282836802619,0.823965405567302,0.830126831093675
71,75,0.727837948667681,0.0683281585559406,0.621675438448856,0.630670811940598,0.672052175086914,0.712572011262425,0.788966119197753,0.851976166620357,0.858817412595576
72,76,0.680069575132219,0.0651173616960868,0.578174025186208,0.586810337355088,0.628711045481204,0.665869329252132,0.737898842334007,0.798540695768902,0.805642548451686
73,77,0.673631878188798,0.07629165296145,0.557282799360998,0.565862022802228,0.612083241888865,0.656097191398082,0.740912707162829,0.814114314178891,0.824296014985483
74,78,0.746589000513419,0.0890132007916243,0.608611326808017,0.620255041697076,0.675798130674,0.725157929594026,0.825750110388946,0.909792999371145,0.921542236820328
75,79,0.767056637097455,0.0727697964583041,0.643507611171351,0.654999801038857,0.711149984596128,0.750355398286323,0.833241343427804,0.897269763406158,0.908305247926773
76,80,0.69912066158426,0.0583967171151499,0.597014198106557,0.607041678858309,0.65653348271017,0.68762355634907,0.750840631388352,0.80181657908122,0.811092862630965
77,81,0.680317761711346,0.0688231309711814,0.568243939468681,0.581163130390583,0.627754553869549,0.663885697233149,0.739291249390465,0.805772570146782,0.820201499169682
78,82,0.716526586795707,0.0790494899314296,0.592541853552503,0.603389386762295,0.654897904490818,0.697571085930137,0.786317345133989,0.860700954410789,0.876360857771734
79,83,0.804944811395416,0.0814920733191455,0.670298243333132,0.686589895838908,0.74179626113383,0.788100316977538,0.876597521760626,0.950532940274471,0.96929292640685
80,84,0.824462809796683,0.0622027436044832,0.711127140049587,0.724922326975451,0.779054414187181,0.814866112229347,0.877767000953554,0.926251650458482,0.937169338381486
81,85,0.817422861451165,0.0531871335169664,0.718960111057152,0.729838165589334,0.777941713311329,0.814258305411238,0.86012321566025,0.902821133285856,0.913287317752681
82,86,0.826576487547929,0.0514431663426586,0.732998133185202,0.743218984951951,0.79016220283572,0.821768674987884,0.867580708740414,0.909727490093895,0.919681596567143
83,87,0.766539793842718,0.0441570001722797,0.686975298251099,0.696515557594786,0.734439522430254,0.76257367162991,0.802067597737781,0.838755769235503,0.850186596163261
84,88,0.706123572415844,0.0494074536791433,0.626573093252603,0.635834624947406,0.668383418006939,0.696639140111749,0.748073603916231,0.790129758188268,0.802765360341367
85,89,0.702831338446589,0.0642020844010933,0.603783213429226,0.61238372585838,0.651527781073106,0.69207864861605,0.754909609858336,0.814831560070211,0.833686180900043
86,90,0.661183424565642,0.0644286613267936,0.562503920196753,0.569726746559712,0.610943735036291,0.650292238633722,0.712675286672519,0.774893042121215,0.79302813441929
87,91,0.618948605496075,0.069386322770195,0.513058796869266,0.521748943769007,0.564063436859697,0.607002844262331,0.675002597191715,0.738330989847463,0.757776725618925
88,92,0.569779933853895,0.0752182510687314,0.455782353721463,0.465353784505121,0.510182392323711,0.556201841512354,0.629781683614091,0.703458068192201,0.720099193903185
89,93,0.490695153700355,0.0749706315561008,0.378115681059692,0.38738299982481,0.43206769382094,0.476134080943211,0.548792348030461,0.624468551548494,0.643508944173483
90,94,0.406839634459062,0.0793820481268728,0.294231465482796,0.301640114788425,0.34609619692914,0.388838398450089,0.469406191621355,0.550327468390808,0.574307530482021
91,95,0.35275818667489,0.0884888999400961,0.232847312041575,0.241707938327998,0.284916216686364,0.328653896893797,0.415535946532513,0.517105025944201,0.548660617214727
92,96,0.290804239086951,0.0875769578217354,0.175686099330048,0.186515735660392,0.225654516632887,0.266453780259204,0.350412846665708,0.449717533531474,0.485987691449046
93,97,0.268809370178745,0.0954596017399202,0.148958627180673,0.161092052780215,0.199278720489281,0.237791760898659,0.332866053493603,0.443115919446495,0.481030613488249
94,98,0.350000563780177,0.137423149578789,0.183010382417206,0.199095710500606,0.251596992744584,0.306375789159723,0.438995966453843,0.582771998576805,0.664695632926508
